%Datos (longitud,latitud)
%Red de meridianos (-11.0,5.0) y paralelos (35.0,60.0)
   6378137.000  -3.0
 298.257222101  0.9996
NaN NaN
-11.0000000000  35.0000000000
-11.0000000000  36.0000000000
-11.0000000000  37.0000000000
-11.0000000000  38.0000000000
-11.0000000000  39.0000000000
-11.0000000000  40.0000000000
-11.0000000000  41.0000000000
-11.0000000000  42.0000000000
-11.0000000000  43.0000000000
-11.0000000000  44.0000000000
-11.0000000000  45.0000000000
-11.0000000000  46.0000000000
-11.0000000000  47.0000000000
-11.0000000000  48.0000000000
-11.0000000000  49.0000000000
-11.0000000000  50.0000000000
-11.0000000000  51.0000000000
-11.0000000000  52.0000000000
-11.0000000000  53.0000000000
-11.0000000000  54.0000000000
-11.0000000000  55.0000000000
-11.0000000000  56.0000000000
-11.0000000000  57.0000000000
-11.0000000000  58.0000000000
-11.0000000000  59.0000000000
-11.0000000000  60.0000000000
NaN NaN
 -7.0000000000  35.0000000000
 -7.0000000000  36.0000000000
 -7.0000000000  37.0000000000
 -7.0000000000  38.0000000000
 -7.0000000000  39.0000000000
 -7.0000000000  40.0000000000
 -7.0000000000  41.0000000000
 -7.0000000000  42.0000000000
 -7.0000000000  43.0000000000
 -7.0000000000  44.0000000000
 -7.0000000000  45.0000000000
 -7.0000000000  46.0000000000
 -7.0000000000  47.0000000000
 -7.0000000000  48.0000000000
 -7.0000000000  49.0000000000
 -7.0000000000  50.0000000000
 -7.0000000000  51.0000000000
 -7.0000000000  52.0000000000
 -7.0000000000  53.0000000000
 -7.0000000000  54.0000000000
 -7.0000000000  55.0000000000
 -7.0000000000  56.0000000000
 -7.0000000000  57.0000000000
 -7.0000000000  58.0000000000
 -7.0000000000  59.0000000000
 -7.0000000000  60.0000000000
NaN NaN
 -3.0000000000  35.0000000000
 -3.0000000000  36.0000000000
 -3.0000000000  37.0000000000
 -3.0000000000  38.0000000000
 -3.0000000000  39.0000000000
 -3.0000000000  40.0000000000
 -3.0000000000  41.0000000000
 -3.0000000000  42.0000000000
 -3.0000000000  43.0000000000
 -3.0000000000  44.0000000000
 -3.0000000000  45.0000000000
 -3.0000000000  46.0000000000
 -3.0000000000  47.0000000000
 -3.0000000000  48.0000000000
 -3.0000000000  49.0000000000
 -3.0000000000  50.0000000000
 -3.0000000000  51.0000000000
 -3.0000000000  52.0000000000
 -3.0000000000  53.0000000000
 -3.0000000000  54.0000000000
 -3.0000000000  55.0000000000
 -3.0000000000  56.0000000000
 -3.0000000000  57.0000000000
 -3.0000000000  58.0000000000
 -3.0000000000  59.0000000000
 -3.0000000000  60.0000000000
NaN NaN
  1.0000000000  35.0000000000
  1.0000000000  36.0000000000
  1.0000000000  37.0000000000
  1.0000000000  38.0000000000
  1.0000000000  39.0000000000
  1.0000000000  40.0000000000
  1.0000000000  41.0000000000
  1.0000000000  42.0000000000
  1.0000000000  43.0000000000
  1.0000000000  44.0000000000
  1.0000000000  45.0000000000
  1.0000000000  46.0000000000
  1.0000000000  47.0000000000
  1.0000000000  48.0000000000
  1.0000000000  49.0000000000
  1.0000000000  50.0000000000
  1.0000000000  51.0000000000
  1.0000000000  52.0000000000
  1.0000000000  53.0000000000
  1.0000000000  54.0000000000
  1.0000000000  55.0000000000
  1.0000000000  56.0000000000
  1.0000000000  57.0000000000
  1.0000000000  58.0000000000
  1.0000000000  59.0000000000
  1.0000000000  60.0000000000
NaN NaN
  5.0000000000  35.0000000000
  5.0000000000  36.0000000000
  5.0000000000  37.0000000000
  5.0000000000  38.0000000000
  5.0000000000  39.0000000000
  5.0000000000  40.0000000000
  5.0000000000  41.0000000000
  5.0000000000  42.0000000000
  5.0000000000  43.0000000000
  5.0000000000  44.0000000000
  5.0000000000  45.0000000000
  5.0000000000  46.0000000000
  5.0000000000  47.0000000000
  5.0000000000  48.0000000000
  5.0000000000  49.0000000000
  5.0000000000  50.0000000000
  5.0000000000  51.0000000000
  5.0000000000  52.0000000000
  5.0000000000  53.0000000000
  5.0000000000  54.0000000000
  5.0000000000  55.0000000000
  5.0000000000  56.0000000000
  5.0000000000  57.0000000000
  5.0000000000  58.0000000000
  5.0000000000  59.0000000000
  5.0000000000  60.0000000000
NaN NaN
-11.0000000000  35.0000000000
-10.0000000000  35.0000000000
 -9.0000000000  35.0000000000
 -8.0000000000  35.0000000000
 -7.0000000000  35.0000000000
 -6.0000000000  35.0000000000
 -5.0000000000  35.0000000000
 -4.0000000000  35.0000000000
 -3.0000000000  35.0000000000
 -2.0000000000  35.0000000000
 -1.0000000000  35.0000000000
  0.0000000000  35.0000000000
  1.0000000000  35.0000000000
  2.0000000000  35.0000000000
  3.0000000000  35.0000000000
  4.0000000000  35.0000000000
  5.0000000000  35.0000000000
NaN NaN
-11.0000000000  40.0000000000
-10.0000000000  40.0000000000
 -9.0000000000  40.0000000000
 -8.0000000000  40.0000000000
 -7.0000000000  40.0000000000
 -6.0000000000  40.0000000000
 -5.0000000000  40.0000000000
 -4.0000000000  40.0000000000
 -3.0000000000  40.0000000000
 -2.0000000000  40.0000000000
 -1.0000000000  40.0000000000
  0.0000000000  40.0000000000
  1.0000000000  40.0000000000
  2.0000000000  40.0000000000
  3.0000000000  40.0000000000
  4.0000000000  40.0000000000
  5.0000000000  40.0000000000
NaN NaN
-11.0000000000  45.0000000000
-10.0000000000  45.0000000000
 -9.0000000000  45.0000000000
 -8.0000000000  45.0000000000
 -7.0000000000  45.0000000000
 -6.0000000000  45.0000000000
 -5.0000000000  45.0000000000
 -4.0000000000  45.0000000000
 -3.0000000000  45.0000000000
 -2.0000000000  45.0000000000
 -1.0000000000  45.0000000000
  0.0000000000  45.0000000000
  1.0000000000  45.0000000000
  2.0000000000  45.0000000000
  3.0000000000  45.0000000000
  4.0000000000  45.0000000000
  5.0000000000  45.0000000000
NaN NaN
-11.0000000000  50.0000000000
-10.0000000000  50.0000000000
 -9.0000000000  50.0000000000
 -8.0000000000  50.0000000000
 -7.0000000000  50.0000000000
 -6.0000000000  50.0000000000
 -5.0000000000  50.0000000000
 -4.0000000000  50.0000000000
 -3.0000000000  50.0000000000
 -2.0000000000  50.0000000000
 -1.0000000000  50.0000000000
  0.0000000000  50.0000000000
  1.0000000000  50.0000000000
  2.0000000000  50.0000000000
  3.0000000000  50.0000000000
  4.0000000000  50.0000000000
  5.0000000000  50.0000000000
NaN NaN
-11.0000000000  55.0000000000
-10.0000000000  55.0000000000
 -9.0000000000  55.0000000000
 -8.0000000000  55.0000000000
 -7.0000000000  55.0000000000
 -6.0000000000  55.0000000000
 -5.0000000000  55.0000000000
 -4.0000000000  55.0000000000
 -3.0000000000  55.0000000000
 -2.0000000000  55.0000000000
 -1.0000000000  55.0000000000
  0.0000000000  55.0000000000
  1.0000000000  55.0000000000
  2.0000000000  55.0000000000
  3.0000000000  55.0000000000
  4.0000000000  55.0000000000
  5.0000000000  55.0000000000
NaN NaN
-11.0000000000  60.0000000000
-10.0000000000  60.0000000000
 -9.0000000000  60.0000000000
 -8.0000000000  60.0000000000
 -7.0000000000  60.0000000000
 -6.0000000000  60.0000000000
 -5.0000000000  60.0000000000
 -4.0000000000  60.0000000000
 -3.0000000000  60.0000000000
 -2.0000000000  60.0000000000
 -1.0000000000  60.0000000000
  0.0000000000  60.0000000000
  1.0000000000  60.0000000000
  2.0000000000  60.0000000000
  3.0000000000  60.0000000000
  4.0000000000  60.0000000000
  5.0000000000  60.0000000000
NaN NaN
